# in Mpc/h Units 
# D1 = 0.128319 
# k P N P(z=0)
785.398 3.1681e-08 6 1.92404e-06
1110.72 2.84152e-07 12 1.7257e-05
1360.35 3.18894e-08 8 1.9367e-06
1570.8 2.80887e-07 6 1.70587e-05
1756.2 3.0443e-08 24 1.84885e-06
1923.82 2.84099e-07 24 1.72538e-05
2317.69 1.01729e-07 42 6.17815e-06
2483.65 2.77823e-07 24 1.68726e-05
2633.83 9.11168e-08 32 5.53367e-06
2903.06 1.93891e-07 72 1.17753e-05
3227.54 5.63036e-08 54 3.41941e-06
3409.75 2.00482e-07 84 1.21756e-05
3627.38 1.0878e-07 72 6.60638e-06
3981.58 1.72569e-07 158 1.04804e-05
4275.19 1.34177e-07 132 8.14876e-06
4681.61 1.54704e-07 270 9.3954e-06
5119.08 1.01176e-07 288 6.14458e-06
5517.87 1.62219e-07 266 9.85181e-06
5907.52 1.08595e-07 432 6.59515e-06
6407.7 1.50446e-07 546 9.13681e-06
6945.06 1.1395e-07 686 6.92037e-06
7524.46 1.27017e-07 900 7.71397e-06
8154.25 1.12263e-07 1118 6.8179e-06
8828.59 1.04581e-07 1410 6.35135e-06
9547.06 9.45327e-08 1742 5.74112e-06
10355.7 8.88426e-08 2418 5.39556e-06
11217 8.00608e-08 2786 4.86222e-06
12126.9 6.87249e-08 3656 4.17377e-06
13134.5 6.02177e-08 4706 3.65712e-06
14219.6 5.22107e-08 5850 3.17084e-06
15406.7 4.33396e-08 7688 2.63208e-06
16671.4 3.25536e-08 9200 1.97703e-06
18043.5 2.67868e-08 12338 1.62681e-06
19526.6 2.07552e-08 13703 1.2605e-06
21123 1.44928e-08 12952 8.80173e-07
22831.2 1.05405e-08 11468 6.40143e-07
24673.1 7.4693e-09 8888 4.53623e-07
26631.7 5.54923e-09 4687 3.37014e-07
28778.3 3.65723e-09 1606 2.2211e-07
30834.2 2.7419e-09 236 1.6652e-07
32648.4 4.00242e-09 1 2.43074e-07
